EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL
3,PA,Lake Erie,GLNS15-2148,777094,777094.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,237.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-1243,775954,775954.1,Lota lota,Burbot,Gadidae,BD,Mercury,7439-97-6,190.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-1244,775974,775974.1,Salmo trutta,Brown trout,Salmonidae,P,Mercury,7439-97-6,131.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-1251,776034,776034.1,Lota lota,Burbot,Gadidae,BD,Mercury,7439-97-6,134.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-1256,776054,776054.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,366.0,ng/g,ppb,0.05,0.8
5,WI,Lake Superior,GLNS15-1337,778934,778934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,73.0,ng/g,ppb,0.05,0.8
5,WI,Lake Superior,GLNS15-1344,778954,778954.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,39.5,ng/g,ppb,0.05,0.8
5,WI,Lake Superior,GLNS15-2008,779014,779014.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,56.6,ng/g,ppb,0.05,0.8
5,WI,Lake Superior,GLNS15-2015,779034,779034.1,Salmo trutta,Brown trout,Salmonidae,P,Mercury,7439-97-6,123.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-2048,775814,775814.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,113.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-2058,775834,775834.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,57.2,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-2059,775854,775854.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,117.0,ng/g,ppb,0.05,0.8
5,WI,Lake Michigan,GLNS15-2060,775874,775874.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,502.0,ng/g,ppb,0.05,0.8
